epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3568,1.04321,4.75505,1.41915,0.54065,0.85278,0.85703,0.46268,1.06466,9.05154,1.39049,0.07015,0.00015,0.00015
2,41.5222,1.03033,2.3861,1.34313,0.79138,0.83798,0.95021,0.53063,1.08716,5.58896,1.60417,0.0393042,0.000304245,0.000304245
3,63.2725,0.98227,1.90156,1.29354,0.80401,0.83944,0.94076,0.53174,1.09686,4.22806,1.54053,0.00845772,0.000457723,0.000457723
4,84.8902,0.95245,1.88395,1.28438,0.79652,0.92684,0.96104,0.55549,1.08765,2.98387,1.46207,0.000496288,0.000496288,0.000496288
5,106.481,0.94711,1.7565,1.28601,0.81575,0.93245,0.95754,0.61945,0.9806,2.1528,1.37654,0.00049505,0.00049505,0.00049505
6,128.122,0.92584,1.62404,1.25708,0.79109,0.91913,0.93474,0.55474,1.05589,2.21763,1.42523,0.000493813,0.000493813,0.000493813
7,149.036,0.90687,1.45663,1.2467,0.85448,0.95318,0.94039,0.5955,0.9581,1.93014,1.28998,0.000492575,0.000492575,0.000492575
8,170.67,0.8779,1.39875,1.2259,0.89495,0.93721,0.9348,0.51574,1.27971,1.79034,1.68269,0.000491338,0.000491338,0.000491338
9,191.768,0.83046,1.31386,1.18225,0.83328,0.96071,0.93751,0.57137,0.94653,1.34744,1.30439,0.0004901,0.0004901,0.0004901
10,212.813,0.82671,1.29143,1.1911,0.9051,0.9752,0.95159,0.56896,1.04802,1.38422,1.42665,0.000488863,0.000488863,0.000488863
11,233.892,0.81124,1.22345,1.17227,0.90327,0.97661,0.96221,0.62477,0.96733,1.31266,1.31344,0.000487625,0.000487625,0.000487625
12,255.434,0.80221,1.19988,1.15191,0.91973,0.96946,0.96915,0.61818,0.91019,1.22587,1.25485,0.000486388,0.000486388,0.000486388
13,276.464,0.80351,1.18866,1.15716,0.89183,0.97341,0.96786,0.63016,0.91685,1.24949,1.26405,0.00048515,0.00048515,0.00048515
14,298.1,0.80034,1.16565,1.17543,0.92229,0.96565,0.97192,0.5887,1.00845,1.20261,1.3582,0.000483913,0.000483913,0.000483913
15,319.112,0.80649,1.16436,1.17169,0.91901,0.95617,0.95866,0.5962,0.94313,1.22108,1.27734,0.000482675,0.000482675,0.000482675
16,340.768,0.7875,1.11609,1.16213,0.90268,0.95212,0.94466,0.58184,0.92808,1.23743,1.2544,0.000481438,0.000481438,0.000481438
17,361.713,0.793,1.10699,1.1618,0.90506,0.95767,0.95901,0.58895,0.9779,1.16826,1.31424,0.0004802,0.0004802,0.0004802
18,382.679,0.78985,1.10912,1.17432,0.91725,0.96468,0.96492,0.62913,0.93652,1.21643,1.24929,0.000478963,0.000478963,0.000478963
19,403.774,0.78838,1.1073,1.16799,0.91653,0.98162,0.96617,0.61348,0.93739,1.15938,1.27741,0.000477725,0.000477725,0.000477725
20,424.87,0.77425,1.08532,1.15386,0.91707,0.96071,0.95768,0.62288,0.95566,1.22155,1.29289,0.000476488,0.000476488,0.000476488
21,445.905,0.78724,1.11101,1.16191,0.88604,0.96071,0.94892,0.57993,0.99369,1.16248,1.3282,0.00047525,0.00047525,0.00047525
22,467.446,0.77424,1.11191,1.17037,0.90603,0.96758,0.96,0.60497,0.95914,1.2174,1.31535,0.000474013,0.000474013,0.000474013
23,488.419,0.74352,1.04823,1.12782,0.91343,0.96119,0.95959,0.59506,0.91439,1.12909,1.27385,0.000472775,0.000472775,0.000472775
24,509.536,0.74549,1.02448,1.14241,0.93145,0.9654,0.96139,0.61698,0.92765,1.13548,1.26655,0.000471538,0.000471538,0.000471538
25,530.588,0.74383,1.05439,1.12473,0.91831,0.97434,0.97062,0.59672,0.98926,1.09003,1.32984,0.0004703,0.0004703,0.0004703
26,551.679,0.74171,1.02543,1.12142,0.90711,0.97406,0.96257,0.61014,0.92249,1.13603,1.28582,0.000469063,0.000469063,0.000469063
27,572.805,0.72846,1.01908,1.1191,0.89519,0.96935,0.95434,0.59369,0.96335,1.08052,1.33356,0.000467825,0.000467825,0.000467825
28,594.273,0.73925,1.01371,1.11749,0.91351,0.95617,0.95336,0.59751,0.9428,1.11866,1.28221,0.000466587,0.000466587,0.000466587
29,615.364,0.73979,1.01353,1.13377,0.90597,0.98111,0.95613,0.55467,1.13186,1.18087,1.52103,0.00046535,0.00046535,0.00046535
30,636.428,0.73123,0.98975,1.10705,0.92765,0.96411,0.9603,0.59475,1.00138,1.19928,1.34033,0.000464112,0.000464112,0.000464112
31,657.59,0.7241,0.98912,1.10533,0.91503,0.97071,0.96317,0.57112,1.04324,1.15856,1.39465,0.000462875,0.000462875,0.000462875
32,678.686,0.74447,1.00133,1.12067,0.92698,0.95866,0.96883,0.59559,0.96035,1.12643,1.30777,0.000461637,0.000461637,0.000461637
33,699.818,0.7513,1.00353,1.13798,0.91398,0.9583,0.95511,0.58344,0.97219,1.08665,1.31784,0.0004604,0.0004604,0.0004604
34,721.329,0.73887,0.97381,1.11731,0.8961,0.95314,0.94608,0.57154,1.02688,1.16147,1.39737,0.000459163,0.000459163,0.000459163
35,742.416,0.71989,0.96666,1.10268,0.91938,0.95673,0.95705,0.59704,0.95484,1.11244,1.27134,0.000457925,0.000457925,0.000457925
36,763.55,0.71443,0.96348,1.12196,0.89331,0.93457,0.95432,0.60793,0.96093,1.16427,1.28806,0.000456687,0.000456687,0.000456687
37,784.646,0.68914,0.95296,1.08563,0.92376,0.96996,0.97472,0.63099,0.95889,1.05651,1.2956,0.00045545,0.00045545,0.00045545
38,806.388,0.70272,0.95138,1.09533,0.93245,0.97357,0.97055,0.62326,0.94197,1.07987,1.27779,0.000454212,0.000454212,0.000454212
39,827.57,0.70177,0.95486,1.09296,0.92392,0.97828,0.96978,0.62063,0.95384,1.08525,1.2865,0.000452975,0.000452975,0.000452975
40,849.068,0.69958,0.94847,1.09402,0.92375,0.97179,0.97384,0.6149,0.92673,1.02988,1.24001,0.000451737,0.000451737,0.000451737
41,870.077,0.69243,0.94847,1.07833,0.9217,0.9726,0.98211,0.62726,0.9298,1.03025,1.25695,0.0004505,0.0004505,0.0004505
42,891.185,0.68847,0.95006,1.08818,0.93838,0.97409,0.98399,0.62829,0.96708,1.06698,1.28154,0.000449263,0.000449263,0.000449263
43,912.234,0.69087,0.92962,1.08541,0.92895,0.98123,0.98362,0.62936,0.95518,1.04398,1.28322,0.000448025,0.000448025,0.000448025
44,933.204,0.71234,0.95212,1.09761,0.93412,0.96922,0.987,0.63061,0.94969,1.07139,1.27764,0.000446788,0.000446788,0.000446788
45,954.879,0.70939,0.95073,1.09725,0.91175,0.97111,0.97897,0.62978,0.98944,1.10526,1.31161,0.00044555,0.00044555,0.00044555
46,975.894,0.6933,0.92417,1.08191,0.91206,0.93779,0.94846,0.61855,0.93166,1.13476,1.25239,0.000444312,0.000444312,0.000444312
47,996.895,0.69014,0.92191,1.08411,0.91155,0.95606,0.96594,0.61041,0.94331,1.05548,1.27782,0.000443075,0.000443075,0.000443075
48,1018.41,0.68531,0.93788,1.08419,0.90668,0.96892,0.97279,0.62079,0.91651,1.08186,1.25764,0.000441838,0.000441838,0.000441838
