epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.944,1.18997,4.96022,1.76899,0.54212,0.58554,0.72887,0.31528,1.24063,4.20121,1.60967,0.0678088,0.000161765,0.000161765
2,26.4756,1.10069,2.6111,1.56697,0.60514,0.66639,0.77957,0.38276,1.22502,3.75755,1.62752,0.0346413,0.000327619,0.000327619
3,39.7997,1.08713,2.39494,1.54028,0.18119,0.36131,0.11923,0.05003,1.31943,6.18673,1.68402,0.00147304,0.000492647,0.000492647
4,52.6449,1.14997,2.5225,1.60387,0.88866,0.18987,0.22602,0.09915,1.44266,5.60918,1.84672,0.000496288,0.000496288,0.000496288
5,65.4519,1.11873,2.41537,1.5642,0.53532,0.70648,0.6839,0.35891,1.29361,4.10569,1.60565,0.00049505,0.00049505,0.00049505
6,78.4335,1.07948,2.03476,1.48846,0.82774,0.87993,0.95406,0.54409,1.03533,1.62835,1.36514,0.000493813,0.000493813,0.000493813
7,92.1276,1.05884,2.09894,1.49032,0.75767,0.81694,0.85234,0.48525,1.06955,2.06956,1.38789,0.000492575,0.000492575,0.000492575
8,105.319,1.08118,2.09557,1.50633,0.70227,0.81304,0.786,0.44649,1.03445,2.30369,1.34857,0.000491338,0.000491338,0.000491338
9,118.853,1.06819,1.94388,1.51661,0.86245,0.92364,0.95234,0.53743,1.00823,1.50546,1.35628,0.0004901,0.0004901,0.0004901
10,133.191,1.04263,1.80733,1.48514,0.90876,0.9875,0.95939,0.59236,0.94926,1.28748,1.30256,0.000488863,0.000488863,0.000488863
11,147.624,1.00789,1.63505,1.46429,0.91202,0.9875,0.96084,0.56718,0.96661,1.26639,1.28961,0.000487625,0.000487625,0.000487625
12,161.088,1.04745,1.65022,1.50284,0.90994,0.97981,0.96538,0.5436,0.99813,1.36656,1.32964,0.000486388,0.000486388,0.000486388
13,174.599,1.01041,1.75955,1.45933,0.74614,0.87756,0.86311,0.48229,1.1986,1.92005,1.57246,0.00048515,0.00048515,0.00048515
14,188.025,0.99737,1.62546,1.42601,0.78479,0.85369,0.86294,0.52295,1.01809,1.86323,1.32687,0.000483913,0.000483913,0.000483913
